analog_id,display_name,role,priority,edited_region,head_variant,core_variant,linker_variant,tail_variant,canonical_smiles,formal_charge,mol_wt,tpsa,hbd,hba,rotatable_bonds,mcs_rmsd_to_reference,headgroup_rationale,core_rationale,linker_rationale,tail_rationale,hypothesis,expected_effect,sdf_path,pdbqt_path
vamifeport,P0 Parent vamifeport,reference,1,none,parent,parent,parent,parent,O=C(NCc1ncccc1F)c1coc(CC[NH+]CCc2nc3ccccc3[nH]2)n1,1,408.437,112.3,3,6,9,3.425,Validated parent headgroup taken from the bound vamifeport scaffold.,Validated parent heteroaryl core from the crystal-bound scaffold.,The validated protonated linker state from the WT re-docking workflow.,Validated fused heteroaryl tail from the crystal-bound scaffold.,Benchmark reference scaffold,Expected to reproduce the validated parent behavior across WT and mutants,data/prepared/ligands/analog_library/vamifeport.sdf,data/prepared/ligands/analog_library/vamifeport.pdbqt
H1_desfluoro,H1 Des-fluoro headgroup,candidate,2,headgroup,desfluoro,parent,parent,parent,O=C(NCc1ccccn1)c1coc(CC[NH+]CCc2nc3ccccc3[nH]2)n1,1,390.447,112.3,3,6,9,2.166,Minimal lipophilicity and electronics edit that removes only the fluorine.,Validated parent heteroaryl core from the crystal-bound scaffold.,The validated protonated linker state from the WT re-docking workflow.,Validated fused heteroaryl tail from the crystal-bound scaffold.,Tests whether the headgroup fluorine is a hard binding requirement,May relax headgroup electronics and reduce lipophilicity with minimal shape change,data/prepared/ligands/analog_library/H1_desfluoro.sdf,data/prepared/ligands/analog_library/H1_desfluoro.pdbqt
H2_pyrimidyl,H2 Aza-aryl headgroup,candidate,3,headgroup,aza_pyrimidyl,parent,parent,parent,O=C(NCc1nccnc1F)c1coc(CC[NH+]CCc2nc3ccccc3[nH]2)n1,1,409.425,125.19,3,7,9,2.942,Adds one aromatic nitrogen as a classic aza-aryl bioisostere.,Validated parent heteroaryl core from the crystal-bound scaffold.,The validated protonated linker state from the WT re-docking workflow.,Validated fused heteroaryl tail from the crystal-bound scaffold.,Adds one ring nitrogen in the headgroup as a polar bioisostere,May improve accommodation in rewired or more polar mutant environments,data/prepared/ligands/analog_library/H2_pyrimidyl.sdf,data/prepared/ligands/analog_library/H2_pyrimidyl.pdbqt
H3_regiofluoro,H3 Fluoropyridyl regioisomer,candidate,4,headgroup,fluoro_regio,parent,parent,parent,O=C(NCc1cncc(F)c1)c1coc(CC[NH+]CCc2nc3ccccc3[nH]2)n1,1,408.437,112.3,3,6,9,1.748,Repositions the ring nitrogen and fluorine while keeping size and atom count similar.,Validated parent heteroaryl core from the crystal-bound scaffold.,The validated protonated linker state from the WT re-docking workflow.,Validated fused heteroaryl tail from the crystal-bound scaffold.,Repositions the headgroup nitrogen and fluorine pattern without changing gross size,Tests whether headgroup vector geometry is tightly constrained,data/prepared/ligands/analog_library/H3_regiofluoro.sdf,data/prepared/ligands/analog_library/H3_regiofluoro.pdbqt
T1_benzoxazole,T1 Benzoxazole tail,candidate,5,tail,parent,parent,parent,benzoxazole,O=C(NCc1ncccc1F)c1coc(CC[NH+]CCc2nc3ccccc3o2)n1,1,409.421,109.65,2,7,9,3.247,Validated parent headgroup taken from the bound vamifeport scaffold.,Validated parent heteroaryl core from the crystal-bound scaffold.,The validated protonated linker state from the WT re-docking workflow.,O-for-N distal bioisostere that removes the donor while preserving fused aromatic size.,Replaces the distal benzimidazole with an oxygen isostere and removes the donor,Tests whether distal donor removal is tolerated while preserving fused aromatic size,data/prepared/ligands/analog_library/T1_benzoxazole.sdf,data/prepared/ligands/analog_library/T1_benzoxazole.pdbqt
T2_benzothiazole,T2 Benzothiazole tail,candidate,6,tail,parent,parent,parent,benzothiazole,O=C(NCc1ncccc1F)c1coc(CC[NH+]CCc2nc3ccccc3s2)n1,1,425.489,96.51,2,7,9,3.619,Validated parent headgroup taken from the bound vamifeport scaffold.,Validated parent heteroaryl core from the crystal-bound scaffold.,The validated protonated linker state from the WT re-docking workflow.,S-for-N distal bioisostere that shifts polarizability and hydrophobicity.,Introduces a softer sulfur-containing fused heteroaryl as a distal bioisostere,Tests whether a slightly more hydrophobic tail is better tolerated near C326Y,data/prepared/ligands/analog_library/T2_benzothiazole.sdf,data/prepared/ligands/analog_library/T2_benzothiazole.pdbqt
T3_n_methyl_benzimidazole,T3 N-methyl benzimidazole tail,candidate,7,tail,parent,parent,parent,n_methyl_benzimidazole,Cn1c(CC[NH+]CCc2nc(C(=O)NCc3ncccc3F)co2)nc2ccccc21,1,422.464,101.44,2,7,9,3.376,Validated parent headgroup taken from the bound vamifeport scaffold.,Validated parent heteroaryl core from the crystal-bound scaffold.,The validated protonated linker state from the WT re-docking workflow.,Direct NH-blocking edit that keeps the benzimidazole ring family intact.,Blocks the distal benzimidazole NH donor without changing the ring family,Direct donor-removal control at the parent fused tail,data/prepared/ligands/analog_library/T3_n_methyl_benzimidazole.sdf,data/prepared/ligands/analog_library/T3_n_methyl_benzimidazole.pdbqt
T4_aza_benzimidazole,T4 Aza-benzimidazole tail,candidate,8,tail,parent,parent,parent,aza_benzimidazole,O=C(NCc1ncccc1F)c1coc(CC[NH+]CCc2nc3ccncc3[nH]2)n1,1,409.425,125.19,3,7,9,3.171,Validated parent headgroup taken from the bound vamifeport scaffold.,Validated parent heteroaryl core from the crystal-bound scaffold.,The validated protonated linker state from the WT re-docking workflow.,Adds one distal ring nitrogen as a fused aza-aryl bioisostere.,Adds one ring nitrogen in the distal fused heteroaryl,Tests whether extra distal polarity helps mutant tolerance especially for C326Y,data/prepared/ligands/analog_library/T4_aza_benzimidazole.sdf,data/prepared/ligands/analog_library/T4_aza_benzimidazole.pdbqt
L1_tertiary_amine,L1 Tertiary linker amine,candidate,9,linker,parent,parent,tertiary_amine,parent,C[N+](CCc1nc2ccccc2[nH]1)CCc1nc(C(=O)NCc2ncccc2F)co1,1,422.464,102.6,2,6,9,3.794,Validated parent headgroup taken from the bound vamifeport scaffold.,Validated parent heteroaryl core from the crystal-bound scaffold.,Maintains a cationic center while removing the linker NH donor.,Validated fused heteroaryl tail from the crystal-bound scaffold.,Removes the linker NH donor while keeping a cationic center,Tests whether the protonated linker acts mainly as a charge anchor rather than a donor,data/prepared/ligands/analog_library/L1_tertiary_amine.sdf,data/prepared/ligands/analog_library/L1_tertiary_amine.pdbqt
C1_thiazole_core,C1 Thiazole core,candidate,10,core,parent,thiazole,parent,parent,O=C(NCc1ncccc1F)c1csc(CC[NH+]CCc2nc3ccccc3[nH]2)n1,1,424.505,99.16,3,6,9,3.359,Validated parent headgroup taken from the bound vamifeport scaffold.,Oxygen-to-sulfur core swap to probe central heteroaryl electronics.,The validated protonated linker state from the WT re-docking workflow.,Validated fused heteroaryl tail from the crystal-bound scaffold.,Core oxygen-to-sulfur isosteric swap,High-risk test of whether the central heteroaryl electronics can shift without losing pose logic,data/prepared/ligands/analog_library/C1_thiazole_core.sdf,data/prepared/ligands/analog_library/C1_thiazole_core.pdbqt
